行业名称,RSI超卖阈值,RSI超买阈值,是否要求背离,极端超卖阈值,极端超买阈值,风险等级,备注
煤炭,28,70,是,25,72,激进型,强周期性行业
电力,35,70,否,30,80,极度保守型,稳定收益行业
有色金属,29,69,是,26,73,激进型,周期性较强
能源金属,27,67,是,24,71,极度激进型,波动极大
电子元件,32,72,部分,28,76,保守型,相对稳定
化学制药,33,73,部分,29,77,保守型,防御性行业
钢铁,28,68,是,25,72,激进型,强周期性
石油石化,30,70,是,27,74,标准型,中等波动
银行,35,75,否,32,78,极度保守型,稳定性强
保险,34,74,否,31,77,极度保守型,稳定收益
食品饮料,34,74,否,31,77,保守型,消费稳定
医药生物,33,73,部分,30,76,保守型,防御属性
房地产,31,71,是,28,75,标准型,周期性中等
建筑建材,30,70,是,27,74,标准型,基建相关
机械设备,31,71,是,28,75,标准型,制造业
汽车,32,72,部分,29,76,保守型,消费升级
家用电器,32,72,部分,29,76,保守型,消费品
纺织服装,31,71,是,28,75,标准型,传统制造
轻工制造,31,71,是,28,75,标准型,制造业
商业贸易,32,72,部分,29,76,保守型,服务业
交通运输,31,71,是,28,75,标准型,周期性
公用事业,34,74,否,31,77,保守型,公共服务
通信,32,72,部分,29,76,保守型,基础设施
计算机,30,70,是,27,74,标准型,科技行业
传媒,31,71,是,28,75,标准型,内容产业
国防军工,30,70,是,27,74,标准型,特殊行业
农林牧渔,31,71,是,28,75,标准型,基础产业
综合,31,71,是,28,75,标准型,多元化
默认,30,70,是,27,74,标准型,未分类行业
